1133,select top # * from [MyTable_#]
2019-12-02 15:54:00,1
2019-12-02 15:56:00,1
2019-12-02 17:34:00,1
2019-12-02 17:35:00,1
2019-12-02 17:41:00,1
2019-12-02 17:55:00,1
2019-12-03 12:40:00,2
2019-12-04 04:25:00,1
2019-12-04 13:12:00,1
2019-12-06 02:33:00,3
2019-12-06 02:43:00,1
2019-12-06 03:02:00,1
2019-12-08 08:15:00,1
2019-12-08 08:16:00,2
2019-12-08 08:27:00,1
2019-12-08 08:55:00,2
2019-12-09 00:39:00,1
2019-12-10 10:14:00,4
2019-12-10 10:15:00,2
2019-12-10 10:17:00,2
2019-12-10 10:23:00,1
2019-12-10 11:38:00,3
2019-12-10 11:39:00,2
2019-12-10 15:08:00,1
2019-12-10 15:11:00,2
2019-12-10 16:43:00,1
2019-12-10 16:44:00,1
2019-12-10 18:18:00,1
2019-12-10 18:21:00,1
2019-12-10 18:24:00,1
2019-12-12 01:24:00,2
2019-12-12 02:41:00,4
2019-12-12 18:47:00,1
2019-12-12 18:49:00,1
2019-12-12 18:55:00,1
2019-12-13 10:34:00,1
2019-12-13 10:47:00,1
2019-12-13 15:14:00,1
2019-12-13 15:30:00,1
2019-12-13 16:00:00,1
2019-12-14 13:13:00,1
2019-12-16 17:38:00,1
2019-12-16 17:39:00,1
2019-12-16 17:41:00,1
2019-12-18 09:03:00,1
2019-12-18 12:33:00,1
2019-12-18 12:35:00,1
2019-12-19 13:10:00,1
2019-12-20 04:41:00,1
2019-12-20 05:29:00,1
2019-12-24 08:39:00,1
2019-12-28 14:34:00,1
2019-12-29 18:05:00,3
2019-12-30 06:34:00,1
2019-12-31 01:16:00,1
