1949,select * from zoo2MainSpecz where dr8objid = #
2019-06-18 04:26:00,1
2019-06-18 07:49:00,1
2019-06-18 17:09:00,1
2019-06-18 23:50:00,1
2019-06-19 02:20:00,1
2019-06-19 07:23:00,1
2019-06-19 10:37:00,1
2019-06-19 19:18:00,1
2019-06-19 20:21:00,1
2019-06-20 13:22:00,1
2019-06-20 13:25:00,1
2019-06-20 13:31:00,1
2019-06-20 13:33:00,1
2019-06-20 13:34:00,1
2019-06-20 13:41:00,1
2019-06-20 13:55:00,1
2019-06-20 14:39:00,1
2019-06-20 21:47:00,1
2019-06-21 10:28:00,1
2019-06-24 04:20:00,1
2019-06-25 02:33:00,1
2019-06-25 08:58:00,1
2019-06-26 09:22:00,1
2019-06-26 11:25:00,1
2019-06-26 12:50:00,1
2019-06-26 14:15:00,1
2019-06-26 18:48:00,1
2019-06-27 12:18:00,1
2019-06-27 13:08:00,1
2019-06-28 10:54:00,1
2019-06-28 12:31:00,1
2019-06-28 13:16:00,1
2019-06-28 13:22:00,1
2019-06-28 16:58:00,1
2019-06-29 09:20:00,1
2019-06-29 11:57:00,1
2019-06-29 12:50:00,1
2019-06-29 14:14:00,1
2019-06-30 02:15:00,1
2019-06-30 12:10:00,1
2019-06-30 13:06:00,1
2019-06-30 15:23:00,1
2019-07-01 10:52:00,1
2019-07-01 13:14:00,1
2019-07-01 13:19:00,1
2019-07-01 16:54:00,1
2019-07-02 09:13:00,1
2019-07-02 12:41:00,1
2019-07-02 12:57:00,1
2019-07-02 14:09:00,1
2019-07-02 19:44:00,1
2019-07-02 21:05:00,1
2019-07-02 21:33:00,1
2019-07-04 11:57:00,1
2019-07-04 13:54:00,1
2019-07-04 15:22:00,1
2019-07-04 18:16:00,1
2019-07-05 00:44:00,1
2019-07-05 00:46:00,1
2019-07-05 00:47:00,1
2019-07-05 00:48:00,1
2019-07-05 00:51:00,1
2019-07-05 00:53:00,1
2019-07-05 00:54:00,1
2019-07-05 00:59:00,1
2019-07-05 01:08:00,1
2019-07-05 01:12:00,1
2019-07-05 01:35:00,1
2019-07-05 02:34:00,1
2019-07-05 02:51:00,1
2019-07-05 03:40:00,1
2019-07-05 04:06:00,1
2019-07-05 05:58:00,1
2019-07-05 10:54:00,1
2019-07-06 02:34:00,1
2019-07-06 06:21:00,1
2019-07-06 10:38:00,1
2019-07-06 10:41:00,1
