648,SELECT * FROM MyTable
2019-09-16 05:46:00,1
2019-09-16 06:02:00,2
2019-09-16 06:06:00,1
2019-09-16 06:21:00,1
2019-09-17 11:15:00,1
2019-09-17 16:43:00,1
2019-09-18 07:41:00,1
2019-09-18 07:42:00,1
2019-09-18 08:42:00,1
2019-09-18 15:44:00,1
2019-09-19 13:27:00,1
2019-09-20 18:59:00,1
2019-09-21 02:33:00,1
2019-09-21 02:35:00,1
2019-09-21 02:36:00,1
2019-09-21 10:59:00,1
2019-09-25 06:31:00,1
2019-09-25 06:32:00,1
2019-09-25 11:18:00,1
2019-09-25 12:08:00,1
2019-09-26 05:06:00,1
2019-09-26 05:35:00,1
2019-09-26 06:54:00,1
2019-09-26 06:57:00,1
2019-09-26 10:00:00,1
2019-09-26 11:38:00,1
2019-09-26 12:30:00,1
2019-09-26 17:56:00,1
2019-09-26 17:58:00,1
2019-09-26 19:09:00,1
2019-09-26 19:10:00,1
2019-09-26 19:12:00,1
2019-09-27 07:38:00,1
2019-09-29 02:59:00,1
2019-09-29 04:07:00,1
2019-09-30 03:25:00,1
2019-09-30 05:31:00,1
2019-09-30 09:28:00,1
2019-09-30 12:56:00,1
2019-09-30 17:14:00,1
2019-10-01 11:15:00,1
2019-10-02 11:53:00,1
2019-10-02 18:23:00,1
2019-10-03 02:00:00,1
2019-10-03 04:54:00,1
2019-10-03 09:18:00,1
2019-10-03 13:26:00,1
2019-10-03 13:27:00,1
2019-10-04 05:55:00,1
2019-10-04 06:00:00,1
2019-10-05 12:15:00,1
2019-10-07 12:22:00,1
2019-10-08 01:52:00,1
2019-10-08 01:53:00,1
2019-10-08 02:10:00,1
2019-10-08 04:41:00,1
2019-10-08 15:35:00,1
2019-10-09 07:07:00,1
2019-10-10 14:11:00,1
2019-10-10 14:12:00,1
2019-10-11 05:51:00,2
2019-10-13 07:10:00,1
2019-10-13 07:17:00,1
2019-10-14 18:17:00,1
2019-10-15 06:50:00,1
2019-10-15 19:15:00,1
2019-10-15 19:19:00,1
2019-10-17 11:43:00,1
2019-10-18 01:53:00,1
2019-10-18 17:01:00,2
2019-10-19 14:28:00,1
2019-10-20 03:11:00,1
2019-10-21 10:09:00,1
2019-10-21 10:59:00,1
2019-10-21 13:18:00,1
2019-10-22 04:02:00,1
2019-10-22 05:37:00,1
2019-10-22 15:45:00,1
2019-10-28 11:23:00,1
2019-10-31 07:25:00,2
2019-10-31 14:17:00,1
2019-11-01 03:05:00,1
2019-11-04 00:09:00,1
2019-11-04 14:54:00,1
2019-11-04 15:57:00,1
2019-11-04 16:00:00,1
2019-11-06 01:25:00,1
2019-11-07 05:19:00,1
2019-11-07 05:27:00,1
2019-11-07 05:31:00,1
2019-11-07 08:55:00,1
2019-11-08 11:43:00,1
2019-11-10 06:41:00,1
2019-11-10 06:57:00,1
2019-11-10 08:43:00,1
2019-11-10 16:56:00,1
2019-11-11 04:53:00,1
2019-11-12 03:46:00,1
2019-11-12 04:52:00,1
2019-11-12 04:55:00,1
2019-11-12 07:23:00,1
2019-11-12 09:56:00,1
2019-11-12 15:05:00,1
2019-11-13 06:41:00,1
2019-11-13 06:42:00,1
2019-11-13 06:44:00,1
2019-11-13 06:45:00,1
2019-11-13 06:47:00,1
2019-11-13 08:17:00,1
2019-11-14 00:55:00,1
2019-11-14 05:33:00,1
2019-11-15 01:01:00,1
2019-11-15 01:06:00,1
2019-11-15 01:10:00,1
2019-11-15 01:20:00,1
2019-11-15 10:01:00,1
2019-11-18 00:10:00,1
2019-11-20 17:25:00,1
2019-11-20 17:26:00,1
2019-11-20 18:31:00,1
2019-11-25 11:05:00,1
2019-11-26 01:23:00,1
2019-11-26 05:53:00,1
2019-11-26 12:06:00,1
2019-11-27 10:14:00,1
2019-11-27 11:34:00,1
2019-11-27 12:29:00,1
2019-11-27 13:32:00,1
2019-11-27 13:39:00,1
2019-12-02 14:40:00,1
2019-12-02 14:49:00,1
2019-12-02 15:02:00,1
2019-12-04 05:13:00,1
2019-12-04 05:14:00,1
2019-12-04 05:16:00,1
2019-12-05 13:53:00,2
2019-12-05 17:29:00,1
2019-12-05 17:30:00,1
2019-12-09 08:46:00,1
2019-12-09 08:47:00,1
2019-12-09 09:15:00,1
2019-12-10 05:12:00,1
2019-12-10 05:13:00,1
2019-12-11 03:01:00,1
2019-12-11 06:21:00,1
2019-12-12 02:22:00,1
2019-12-12 05:37:00,1
2019-12-12 07:03:00,1
2019-12-14 12:47:00,1
2019-12-15 11:57:00,1
2019-12-16 14:47:00,1
2019-12-16 17:53:00,1
2019-12-19 12:54:00,1
2019-12-22 19:01:00,1
2019-12-23 00:24:00,1
2019-12-23 00:27:00,1
2019-12-23 14:33:00,1
2019-12-23 14:40:00,1
2019-12-23 15:03:00,1
2019-12-23 15:13:00,1
2019-12-24 03:27:00,1
2019-12-25 03:09:00,1
2019-12-31 03:19:00,1
2019-12-31 03:28:00,1
2019-12-31 03:46:00,1
2019-12-31 04:05:00,1
2019-12-31 04:09:00,1
2019-12-31 05:18:00,1
2019-12-31 07:36:00,1
2019-12-31 09:20:00,1
2019-12-31 09:23:00,2
