1180,"SELECT objID, ra, dec FROM PhotoObj WHERE (ra between # and #) and (dec between # and #)"
2019-10-30 20:53:00,1
2019-10-30 23:48:00,1
2019-10-31 01:48:00,1
2019-10-31 04:12:00,1
2019-11-01 05:31:00,1
2019-11-01 07:02:00,1
2019-11-01 23:02:00,1
2019-11-02 00:22:00,1
2019-11-02 01:12:00,1
2019-11-02 02:51:00,1
2019-11-02 07:10:00,1
2019-11-02 07:45:00,1
2019-11-02 21:27:00,1
2019-11-02 22:01:00,1
2019-11-02 22:42:00,1
2019-11-03 03:28:00,1
2019-11-03 06:10:00,1
2019-11-03 12:12:00,1
2019-11-04 09:20:00,1
2019-11-04 12:47:00,1
2019-11-04 16:15:00,1
2019-11-04 16:22:00,1
2019-11-05 03:28:00,1
2019-11-07 06:16:00,1
2019-11-07 08:00:00,2
2019-11-08 05:38:00,1
2019-11-08 10:27:00,1
2019-11-08 17:03:00,1
2019-11-08 20:05:00,1
2019-11-09 08:12:00,1
2019-11-09 15:43:00,1
2019-11-10 11:20:00,1
2019-11-10 11:24:00,1
2019-11-10 13:33:00,1
2019-11-12 23:04:00,1
2019-11-13 04:44:00,1
2019-11-13 19:03:00,1
2019-11-14 01:20:00,1
2019-11-14 18:24:00,1
2019-11-15 01:28:00,1
2019-11-15 01:55:00,1
2019-11-15 20:11:00,1
2019-11-16 03:56:00,1
2019-11-16 04:28:00,1
2019-11-16 07:11:00,1
2019-11-16 11:36:00,1
2019-11-16 23:04:00,1
2019-11-17 07:42:00,1
2019-11-18 03:48:00,1
2019-11-18 20:37:00,1
2019-11-19 02:02:00,1
2019-11-19 17:12:00,1
2019-11-19 18:20:00,1
2019-11-20 03:41:00,1
2019-11-20 04:51:00,1
2019-11-20 12:30:00,1
2019-11-20 12:38:00,1
2019-11-20 21:08:00,1
2019-11-21 07:51:00,1
2019-11-21 18:22:00,1
2019-11-21 20:13:00,1
2019-11-21 22:56:00,1
2019-11-22 07:50:00,1
2019-11-22 13:04:00,1
2019-11-22 18:43:00,1
2019-11-23 00:35:00,1
2019-11-23 05:42:00,1
2019-11-23 14:32:00,1
2019-11-24 12:35:00,1
2019-11-26 19:52:00,1
2019-11-26 22:17:00,1
2019-11-27 05:16:00,1
2019-11-27 12:03:00,1
2019-11-27 16:20:00,2
2019-11-28 09:02:00,1
2019-11-28 20:06:00,1
2019-11-28 23:28:00,1
2019-11-29 04:29:00,1
2019-11-29 04:42:00,1
2019-11-29 11:22:00,1
2019-11-29 22:01:00,1
2019-11-30 00:00:00,1
2019-11-30 10:10:00,1
2019-11-30 13:41:00,1
2019-11-30 23:31:00,1
2019-12-01 05:35:00,1
2019-12-01 13:51:00,1
2019-12-01 18:02:00,1
2019-12-03 01:14:00,1
2019-12-03 08:01:00,1
2019-12-03 08:33:00,1
2019-12-03 14:57:00,1
2019-12-04 07:47:00,1
2019-12-04 08:36:00,1
2019-12-04 11:18:00,2
2019-12-04 12:19:00,1
2019-12-04 13:41:00,1
2019-12-04 20:27:00,1
2019-12-04 23:17:00,1
2019-12-05 00:08:00,1
2019-12-05 00:26:00,1
2019-12-05 00:59:00,1
2019-12-05 01:15:00,1
2019-12-05 08:34:00,1
2019-12-05 10:03:00,1
2019-12-05 11:02:00,1
2019-12-05 11:15:00,1
2019-12-05 12:51:00,1
2019-12-05 19:15:00,1
2019-12-05 19:24:00,1
2019-12-05 20:12:00,2
2019-12-06 04:54:00,1
2019-12-06 07:31:00,1
2019-12-06 15:32:00,1
2019-12-06 19:40:00,1
2019-12-07 20:50:00,1
2019-12-07 20:51:00,2
2019-12-08 16:27:00,1
2019-12-09 06:15:00,2
2019-12-09 17:43:00,1
2019-12-10 13:06:00,1
2019-12-10 14:54:00,1
2019-12-11 08:26:00,1
2019-12-11 11:28:00,1
2019-12-11 23:38:00,1
2019-12-12 00:25:00,1
2019-12-12 02:39:00,1
2019-12-12 05:15:00,1
2019-12-12 06:14:00,1
2019-12-12 12:31:00,1
2019-12-13 09:24:00,1
2019-12-13 10:21:00,1
2019-12-13 11:06:00,1
2019-12-13 12:46:00,1
2019-12-14 10:26:00,1
2019-12-14 13:00:00,1
2019-12-14 16:19:00,1
2019-12-14 16:40:00,1
2019-12-14 22:11:00,1
2019-12-15 07:53:00,1
2019-12-15 09:18:00,1
2019-12-16 07:47:00,1
2019-12-16 22:25:00,1
2019-12-17 00:25:00,1
2019-12-17 02:50:00,1
2019-12-18 01:04:00,1
2019-12-18 01:31:00,1
2019-12-18 03:23:00,1
2019-12-18 09:17:00,1
2019-12-18 10:08:00,1
2019-12-18 11:03:00,1
2019-12-19 19:19:00,1
2019-12-20 08:58:00,1
2019-12-20 09:51:00,1
2019-12-20 17:20:00,1
2019-12-21 04:20:00,1
2019-12-21 04:54:00,1
2019-12-21 17:16:00,1
2019-12-22 04:07:00,2
2019-12-22 04:08:00,4
2019-12-22 04:09:00,3
2019-12-22 04:10:00,4
2019-12-22 04:11:00,2
2019-12-22 10:10:00,1
2019-12-22 14:53:00,1
2019-12-23 08:01:00,1
2019-12-23 21:03:00,1
2019-12-24 00:28:00,1
2019-12-25 01:10:00,1
2019-12-25 02:17:00,1
2019-12-25 04:14:00,1
2019-12-25 05:38:00,1
2019-12-25 07:12:00,1
2019-12-26 03:09:00,1
2019-12-26 15:19:00,1
2019-12-26 16:19:00,1
2019-12-26 16:37:00,1
2019-12-27 05:18:00,1
2019-12-27 11:45:00,1
2019-12-27 16:43:00,1
2019-12-27 17:26:00,1
2019-12-28 23:26:00,1
2019-12-29 06:54:00,1
2019-12-29 21:56:00,1
2019-12-30 05:22:00,1
2019-12-30 06:13:00,1
2019-12-30 15:05:00,1
2019-12-31 00:06:00,1
