1369,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-15 09:31:00,1
2019-11-15 17:32:00,1
2019-11-15 18:45:00,2
2019-11-15 18:46:00,1
2019-11-17 11:07:00,1
2019-11-17 11:13:00,1
2019-11-19 11:47:00,1
2019-11-19 11:54:00,1
2019-11-19 12:02:00,1
2019-11-19 17:49:00,1
2019-11-20 12:56:00,1
2019-11-20 14:52:00,1
2019-11-20 17:42:00,1
2019-11-20 17:44:00,1
2019-11-21 15:12:00,1
2019-11-21 15:19:00,1
2019-11-21 18:07:00,1
2019-11-21 18:08:00,1
2019-11-21 20:39:00,1
2019-11-22 03:12:00,1
2019-11-22 04:50:00,1
2019-11-22 20:04:00,1
2019-11-23 12:39:00,1
2019-11-24 08:03:00,1
2019-11-24 10:54:00,1
2019-11-24 10:55:00,1
2019-11-24 14:39:00,1
2019-11-24 16:27:00,1
2019-11-24 16:28:00,15
2019-11-24 16:32:00,1
2019-11-24 16:37:00,1
2019-11-24 16:51:00,1
2019-11-25 11:26:00,1
2019-11-25 20:53:00,1
2019-11-26 02:16:00,1
2019-11-26 06:25:00,1
2019-11-26 06:28:00,1
2019-11-26 06:56:00,1
2019-11-26 07:26:00,1
2019-11-26 08:00:00,1
2019-11-26 12:08:00,1
2019-11-26 12:13:00,2
2019-11-27 08:53:00,1
2019-11-29 10:50:00,1
2019-11-29 17:38:00,1
2019-11-30 06:31:00,1
2019-11-30 20:14:00,1
2019-11-30 20:15:00,1
2019-12-01 05:40:00,1
2019-12-01 07:17:00,1
2019-12-02 18:22:00,1
2019-12-02 20:28:00,1
2019-12-03 03:52:00,1
2019-12-03 03:53:00,1
2019-12-03 03:54:00,1
2019-12-03 17:44:00,1
2019-12-03 22:50:00,1
2019-12-04 08:17:00,1
2019-12-04 11:04:00,1
2019-12-04 13:11:00,2
2019-12-04 13:12:00,1
2019-12-04 13:56:00,1
2019-12-04 14:55:00,1
2019-12-04 14:57:00,1
2019-12-04 21:09:00,2
2019-12-05 13:47:00,1
2019-12-05 13:55:00,1
2019-12-05 13:56:00,1
2019-12-06 16:32:00,1
2019-12-07 12:12:00,1
2019-12-08 00:36:00,1
2019-12-08 00:38:00,1
2019-12-08 00:41:00,1
2019-12-08 13:13:00,1
2019-12-09 23:50:00,1
2019-12-10 10:49:00,1
2019-12-11 07:43:00,1
2019-12-11 07:59:00,1
2019-12-11 15:11:00,1
2019-12-12 10:55:00,1
2019-12-12 10:56:00,1
2019-12-12 12:00:00,1
2019-12-12 12:01:00,1
2019-12-13 03:29:00,1
2019-12-13 12:04:00,1
2019-12-13 15:21:00,1
2019-12-14 01:34:00,1
2019-12-15 19:23:00,1
2019-12-16 13:53:00,1
2019-12-16 16:29:00,1
2019-12-17 15:22:00,1
2019-12-17 15:27:00,2
2019-12-17 15:31:00,1
2019-12-17 15:41:00,2
2019-12-17 15:43:00,2
2019-12-18 16:49:00,1
2019-12-18 16:50:00,2
2019-12-18 16:51:00,1
2019-12-18 16:52:00,1
2019-12-18 17:28:00,1
2019-12-22 03:21:00,2
2019-12-22 03:22:00,1
2019-12-22 03:23:00,1
2019-12-22 03:54:00,1
2019-12-22 04:00:00,1
2019-12-22 09:37:00,1
2019-12-23 10:59:00,1
2019-12-25 05:46:00,1
2019-12-25 05:47:00,1
2019-12-25 10:47:00,1
2019-12-26 07:07:00,1
2019-12-26 07:09:00,1
2019-12-27 20:12:00,1
2019-12-27 20:13:00,2
2019-12-29 17:11:00,1
2019-12-31 20:46:00,1
2019-12-31 20:48:00,1
2019-12-31 20:49:00,2
2019-12-31 20:50:00,1
2019-12-31 22:17:00,1
