733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-07-18 21:13:00,1
2019-07-18 21:16:00,1
2019-07-18 21:17:00,1
2019-07-23 13:55:00,1
2019-07-25 07:59:00,1
2019-07-25 08:01:00,1
2019-07-25 08:21:00,1
2019-07-25 14:09:00,1
2019-07-28 21:48:00,1
2019-07-29 19:44:00,1
2019-07-29 19:52:00,1
2019-07-29 20:15:00,1
2019-07-29 20:19:00,1
2019-07-29 20:27:00,1
2019-07-31 21:30:00,1
2019-07-31 21:33:00,1
2019-07-31 21:38:00,1
2019-07-31 21:49:00,1
2019-07-31 21:55:00,1
2019-07-31 21:59:00,1
2019-07-31 23:08:00,1
2019-07-31 23:14:00,1
2019-07-31 23:30:00,1
2019-08-01 10:46:00,1
2019-08-01 17:49:00,1
2019-08-01 17:50:00,1
2019-08-01 18:04:00,1
2019-08-01 18:09:00,1
2019-08-01 18:21:00,1
2019-08-01 19:44:00,1
2019-08-01 20:57:00,1
2019-08-01 20:58:00,1
2019-08-01 21:11:00,1
2019-08-01 21:14:00,1
2019-08-01 21:39:00,1
2019-08-02 00:10:00,1
2019-08-02 00:21:00,1
2019-08-02 17:51:00,1
2019-08-02 18:02:00,1
2019-08-02 18:11:00,1
2019-08-02 18:18:00,1
2019-08-02 18:59:00,1
2019-08-02 19:15:00,1
2019-08-02 19:52:00,1
2019-08-02 20:02:00,1
2019-08-03 10:01:00,1
2019-08-04 02:59:00,1
2019-08-04 04:11:00,1
2019-08-04 17:09:00,1
2019-08-05 15:07:00,1
2019-08-06 00:19:00,1
2019-08-06 00:28:00,1
2019-08-06 00:56:00,1
2019-08-07 03:24:00,1
2019-08-07 03:31:00,1
2019-08-07 21:43:00,1
2019-08-08 15:30:00,1
2019-08-09 18:01:00,1
2019-08-12 12:37:00,1
2019-08-12 12:38:00,1
2019-08-12 17:40:00,1
2019-08-12 18:29:00,1
2019-08-12 21:51:00,1
2019-08-13 02:34:00,1
2019-08-13 03:11:00,1
2019-08-13 03:23:00,1
2019-08-13 03:26:00,1
2019-08-13 16:16:00,1
2019-08-13 16:31:00,1
2019-08-13 16:37:00,1
2019-08-13 20:05:00,1
2019-08-13 22:31:00,1
2019-08-13 23:50:00,1
2019-08-13 23:51:00,1
2019-08-13 23:54:00,1
2019-08-13 23:55:00,1
2019-08-13 23:56:00,1
2019-08-13 23:58:00,3
2019-08-13 23:59:00,1
2019-08-14 03:20:00,1
2019-08-14 20:34:00,1
2019-08-15 00:10:00,1
2019-08-15 00:50:00,1
2019-08-15 03:06:00,1
2019-08-20 13:09:00,1
2019-08-22 04:49:00,1
2019-08-22 13:21:00,1
2019-08-23 11:03:00,1
2019-08-23 13:59:00,1
2019-08-23 18:00:00,1
2019-08-23 23:03:00,1
2019-08-25 17:26:00,1
2019-08-25 17:31:00,1
2019-08-28 21:55:00,1
