1371,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-15 03:31:00,1
2019-04-15 03:32:00,1
2019-04-15 03:36:00,1
2019-04-15 03:37:00,1
2019-04-15 03:48:00,1
2019-04-15 03:49:00,1
2019-04-15 03:53:00,2
2019-04-15 03:58:00,1
2019-04-15 04:02:00,1
2019-04-15 04:07:00,1
2019-04-15 04:13:00,1
2019-04-15 04:18:00,1
2019-04-15 04:24:00,1
2019-04-15 05:13:00,1
2019-04-15 05:15:00,1
2019-04-15 05:23:00,2
2019-04-15 05:27:00,1
2019-04-15 05:28:00,1
2019-04-15 05:32:00,1
2019-04-15 05:33:00,1
2019-04-15 05:43:00,1
2019-04-15 05:44:00,1
2019-04-15 05:45:00,1
2019-04-15 05:48:00,1
2019-04-15 05:50:00,1
2019-04-15 05:54:00,2
2019-04-15 05:55:00,1
2019-04-15 05:59:00,1
2019-04-15 06:01:00,1
2019-04-15 06:06:00,1
2019-04-15 06:11:00,1
2019-04-15 06:20:00,1
2019-04-15 06:21:00,1
2019-04-15 06:24:00,1
2019-04-15 06:26:00,1
2019-04-15 06:27:00,1
2019-04-15 06:36:00,1
2019-04-15 06:37:00,1
2019-04-15 06:40:00,1
2019-04-15 06:45:00,1
2019-04-15 07:04:00,1
2019-04-15 07:05:00,1
2019-04-15 07:09:00,1
2019-04-15 07:18:00,1
2019-04-15 07:21:00,1
2019-04-15 07:23:00,1
2019-04-15 07:38:00,1
2019-04-15 08:12:00,1
2019-04-15 08:18:00,1
2019-04-15 08:20:00,2
2019-04-15 08:23:00,1
2019-04-15 08:24:00,1
2019-04-15 08:26:00,1
2019-04-15 08:28:00,1
2019-04-15 09:05:00,1
2019-04-15 09:07:00,2
2019-04-15 09:16:00,1
2019-04-15 09:17:00,1
2019-04-15 09:29:00,1
2019-04-15 09:54:00,1
2019-04-15 09:57:00,2
2019-04-15 10:00:00,1
2019-04-15 10:05:00,1
2019-04-15 10:08:00,1
2019-04-15 10:30:00,1
2019-04-15 10:31:00,1
2019-04-15 10:33:00,1
2019-04-15 10:34:00,1
2019-04-15 10:37:00,1
2019-04-15 10:40:00,2
2019-04-15 10:42:00,2
2019-04-15 10:57:00,1
2019-04-15 11:03:00,1
2019-04-15 11:06:00,1
2019-04-15 11:39:00,2
2019-04-15 11:42:00,1
2019-04-15 11:43:00,1
2019-04-15 11:46:00,2
2019-04-15 11:54:00,1
2019-04-15 11:55:00,1
2019-04-15 11:58:00,1
2019-04-15 12:03:00,1
2019-04-15 12:06:00,1
2019-04-15 12:07:00,1
2019-04-15 12:11:00,1
2019-04-15 12:23:00,1
2019-04-15 12:26:00,2
2019-04-15 12:27:00,1
2019-04-15 12:28:00,1
2019-04-15 12:29:00,1
2019-04-15 12:40:00,1
2019-04-15 16:18:00,2
2019-04-15 16:20:00,1
2019-04-15 16:21:00,1
2019-04-15 19:13:00,1
2019-04-15 19:17:00,1
2019-04-15 19:19:00,1
2019-04-15 19:21:00,1
2019-04-15 19:38:00,1
2019-04-15 19:49:00,1
2019-04-15 19:55:00,1
2019-04-15 21:04:00,1
2019-04-15 21:09:00,1
2019-04-15 21:10:00,1
2019-04-15 21:37:00,1
2019-04-15 21:53:00,1
2019-04-15 21:57:00,1
2019-04-15 22:03:00,1
2019-04-15 22:07:00,1
2019-04-15 22:10:00,1
2019-04-15 22:15:00,1
2019-04-15 22:16:00,1
2019-04-15 22:17:00,1
2019-04-15 22:18:00,1
2019-04-15 22:19:00,1
2019-04-15 22:26:00,1
2019-04-15 22:55:00,1
2019-04-15 22:56:00,1
2019-04-15 22:59:00,1
2019-04-15 23:03:00,1
2019-04-15 23:11:00,1
2019-04-15 23:26:00,1
2019-04-15 23:27:00,1
2019-04-15 23:35:00,2
2019-04-15 23:39:00,1
2019-04-15 23:45:00,1
2019-04-15 23:46:00,1
2019-04-15 23:47:00,1
2019-04-15 23:53:00,1
2019-04-15 23:58:00,1
2019-04-16 00:02:00,1
2019-04-16 00:06:00,1
2019-04-16 00:07:00,1
2019-04-16 00:15:00,1
2019-04-16 00:16:00,1
2019-04-16 00:18:00,1
2019-04-16 00:19:00,1
2019-04-16 00:22:00,2
2019-04-16 00:25:00,1
2019-04-16 00:26:00,1
2019-04-16 00:28:00,2
2019-04-16 00:53:00,2
2019-04-16 01:12:00,1
2019-04-16 01:17:00,1
2019-04-16 01:18:00,1
2019-04-16 01:20:00,1
2019-04-16 01:21:00,1
2019-04-16 01:23:00,1
2019-04-16 01:24:00,1
2019-04-16 01:29:00,1
2019-04-16 01:31:00,1
2019-04-16 01:32:00,1
2019-04-16 01:50:00,1
2019-04-16 02:19:00,1
2019-04-16 02:23:00,1
2019-04-16 02:26:00,1
2019-04-16 02:30:00,1
2019-04-16 02:32:00,1
2019-04-16 02:33:00,1
2019-04-16 02:34:00,1
2019-04-16 02:35:00,1
2019-04-16 02:36:00,1
2019-04-16 02:41:00,2
2019-04-16 02:42:00,1
2019-04-16 02:43:00,1
2019-04-16 02:45:00,1
2019-04-16 02:46:00,1
2019-04-16 02:49:00,1
2019-04-16 02:51:00,1
2019-04-16 03:23:00,1
2019-04-16 03:27:00,1
2019-04-16 03:28:00,1
2019-04-16 03:36:00,1
2019-04-16 03:37:00,1
2019-04-16 03:40:00,1
2019-04-16 03:44:00,1
2019-04-16 03:48:00,2
2019-04-16 03:52:00,1
2019-04-16 04:11:00,1
2019-04-16 04:12:00,1
2019-04-16 04:15:00,1
2019-04-16 04:16:00,1
2019-04-16 04:19:00,2
2019-04-16 04:22:00,2
2019-04-16 04:25:00,1
2019-04-16 04:29:00,2
2019-04-16 04:32:00,1
2019-04-16 04:33:00,1
2019-04-16 05:47:00,1
2019-04-16 05:49:00,1
2019-04-16 05:51:00,1
2019-04-16 05:53:00,1
2019-04-16 05:58:00,1
2019-04-16 10:33:00,1
2019-04-16 10:36:00,1
2019-04-16 10:37:00,1
2019-04-16 10:40:00,1
2019-04-16 10:43:00,1
2019-04-16 11:10:00,1
2019-04-16 11:11:00,1
2019-04-16 11:16:00,1
2019-04-16 11:17:00,1
2019-04-16 11:18:00,1
2019-04-16 11:19:00,1
2019-04-16 11:29:00,1
2019-04-16 11:31:00,1
2019-04-16 11:32:00,1
2019-04-16 11:33:00,1
2019-04-16 11:36:00,1
2019-04-16 11:41:00,1
2019-04-16 11:43:00,1
2019-04-16 12:23:00,1
2019-04-16 12:28:00,1
2019-04-16 12:32:00,2
2019-04-16 12:36:00,1
2019-04-16 12:38:00,2
2019-04-16 13:21:00,1
2019-04-16 13:23:00,1
2019-04-16 13:37:00,1
2019-04-16 13:50:00,1
2019-04-16 13:55:00,1
2019-04-16 14:25:00,1
2019-04-16 14:30:00,1
2019-04-16 14:37:00,1
2019-04-16 14:51:00,2
2019-04-16 14:56:00,1
2019-04-16 14:58:00,1
2019-04-16 15:00:00,1
2019-04-16 15:08:00,1
2019-04-16 15:12:00,1
2019-04-16 15:16:00,1
2019-04-16 15:18:00,1
