8191,"SELECT ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g< #"
2019-06-17 19:22:00,1
2019-06-17 19:23:00,1
2019-06-17 19:28:00,1
2019-06-17 19:31:00,1
2019-06-17 19:34:00,1
2019-06-17 19:37:00,1
2019-06-17 19:40:00,1
2019-06-18 09:57:00,12
2019-06-18 09:58:00,1
2019-06-18 09:59:00,1
2019-06-18 10:00:00,4
2019-06-18 10:03:00,2
2019-06-18 10:04:00,1
2019-06-19 12:45:00,1
2019-06-19 12:48:00,1
2019-06-19 12:52:00,1
2019-06-19 13:00:00,1
2019-06-19 13:04:00,1
2019-06-19 13:07:00,1
2019-06-19 13:12:00,1
2019-06-19 13:16:00,1
2019-06-19 13:19:00,1
2019-06-19 13:22:00,1
2019-06-19 13:25:00,1
2019-06-19 13:29:00,1
2019-06-20 07:44:00,4
2019-06-20 07:50:00,4
2019-06-20 07:52:00,3
2019-06-20 07:54:00,1
2019-06-20 07:55:00,6
2019-06-20 07:57:00,7
2019-06-20 07:58:00,4
2019-06-20 07:59:00,6
2019-06-20 08:00:00,2
2019-06-20 10:20:00,1
2019-06-20 10:22:00,4
2019-06-21 12:13:00,3
2019-06-21 12:14:00,1
2019-06-21 13:53:00,4
2019-06-24 17:43:00,1
2019-06-24 17:45:00,1
2019-06-24 17:46:00,1
2019-06-24 17:48:00,1
2019-06-24 17:49:00,1
2019-06-24 17:59:00,1
2019-06-24 18:00:00,2
2019-06-24 18:03:00,2
2019-06-24 18:06:00,1
2019-06-24 18:13:00,1
2019-06-24 18:17:00,1
2019-06-24 18:18:00,1
2019-06-24 18:22:00,1
2019-06-24 18:26:00,1
2019-06-24 18:29:00,2
2019-06-24 18:32:00,1
2019-06-24 18:35:00,2
2019-06-24 18:39:00,2
2019-06-24 18:42:00,1
2019-06-24 18:46:00,1
2019-06-24 18:48:00,1
2019-06-24 19:05:00,1
2019-06-24 19:10:00,1
2019-06-24 19:14:00,1
2019-06-24 21:25:00,1
2019-06-24 21:33:00,1
2019-06-24 21:52:00,1
2019-06-24 21:56:00,1
2019-06-25 10:54:00,1
2019-06-25 16:44:00,1
2019-06-25 16:52:00,1
2019-06-25 16:55:00,1
2019-06-25 17:05:00,1
2019-06-25 17:19:00,1
2019-06-25 17:26:00,1
2019-06-25 17:35:00,1
2019-06-25 17:40:00,1
2019-06-25 17:44:00,1
2019-06-25 17:50:00,1
2019-06-25 17:54:00,1
2019-06-25 18:04:00,1
2019-06-25 18:08:00,1
2019-06-25 18:12:00,1
2019-06-25 18:17:00,1
2019-06-25 18:20:00,1
2019-06-25 18:23:00,1
2019-06-25 18:28:00,1
2019-06-25 18:31:00,1
2019-06-25 18:38:00,1
2019-06-25 18:43:00,1
2019-06-25 18:50:00,1
2019-06-25 18:54:00,1
2019-06-25 19:03:00,1
2019-06-25 19:06:00,1
2019-06-25 19:07:00,1
2019-06-25 19:28:00,1
2019-06-25 19:34:00,1
2019-06-25 19:37:00,1
2019-06-25 19:41:00,1
2019-06-25 19:45:00,1
2019-06-25 19:48:00,1
2019-06-25 19:52:00,1
2019-06-25 19:56:00,1
2019-06-25 20:00:00,1
2019-06-25 20:03:00,1
2019-06-25 20:07:00,1
2019-06-25 20:11:00,1
2019-06-25 20:14:00,1
2019-06-25 20:24:00,1
2019-06-25 20:27:00,1
2019-06-25 20:28:00,1
2019-06-25 20:32:00,1
2019-06-25 20:36:00,1
2019-06-25 20:40:00,2
2019-06-25 20:50:00,1
2019-06-25 20:53:00,2
2019-06-25 20:56:00,1
2019-06-25 21:05:00,1
2019-06-25 21:06:00,1
2019-06-25 21:13:00,2
2019-06-25 21:16:00,2
2019-06-25 21:19:00,1
2019-06-25 21:22:00,1
2019-06-25 21:26:00,1
2019-06-25 21:46:00,1
2019-06-25 21:49:00,1
2019-06-25 21:53:00,1
2019-06-25 21:58:00,1
2019-06-25 22:00:00,1
2019-06-25 22:02:00,1
2019-06-25 22:03:00,1
2019-06-25 22:06:00,1
2019-06-25 22:12:00,2
2019-06-25 22:16:00,2
2019-06-25 22:34:00,1
2019-06-25 22:37:00,1
2019-06-25 22:41:00,1
2019-06-25 22:42:00,1
2019-06-25 22:46:00,4
2019-06-25 22:52:00,1
2019-06-25 23:00:00,1
2019-06-25 23:05:00,1
2019-06-25 23:17:00,1
2019-06-25 23:40:00,1
2019-06-25 23:44:00,1
2019-06-25 23:45:00,1
2019-06-25 23:46:00,1
2019-06-25 23:49:00,1
2019-06-26 00:06:00,1
2019-06-26 00:21:00,1
2019-06-26 00:24:00,1
2019-06-26 00:25:00,1
2019-06-26 00:55:00,1
2019-06-26 00:58:00,1
2019-06-26 01:23:00,1
2019-06-26 01:30:00,1
2019-06-26 10:16:00,1
2019-06-26 17:12:00,2
2019-06-26 17:14:00,1
2019-06-26 17:23:00,1
2019-06-26 17:26:00,1
2019-06-26 17:29:00,1
2019-06-26 17:30:00,1
2019-06-26 17:32:00,1
2019-06-26 17:36:00,1
2019-06-26 17:40:00,1
2019-06-26 17:43:00,2
2019-06-26 17:47:00,1
2019-06-26 17:51:00,1
2019-06-26 17:54:00,1
2019-06-26 17:55:00,1
2019-06-26 17:56:00,1
2019-06-26 17:57:00,1
2019-06-26 18:01:00,1
2019-06-26 18:03:00,1
2019-06-26 18:07:00,1
2019-06-26 18:11:00,1
2019-06-26 18:14:00,1
2019-06-26 18:17:00,1
2019-06-26 18:20:00,1
2019-06-26 18:21:00,1
2019-06-26 18:24:00,1
2019-06-26 18:27:00,1
2019-06-26 18:31:00,1
2019-06-26 18:34:00,1
2019-06-26 18:35:00,1
2019-06-26 18:38:00,1
2019-06-26 18:39:00,1
2019-06-26 18:40:00,1
2019-06-26 18:42:00,1
2019-06-26 18:43:00,1
2019-06-26 18:46:00,2
2019-06-26 18:50:00,1
2019-06-26 18:53:00,1
2019-06-26 18:59:00,1
2019-06-26 19:02:00,1
2019-06-26 19:10:00,1
2019-06-26 19:14:00,1
2019-06-26 19:15:00,1
2019-06-26 19:18:00,1
2019-06-26 19:19:00,1
2019-06-26 19:22:00,1
2019-06-26 19:23:00,1
2019-06-26 19:25:00,1
2019-06-26 19:28:00,1
2019-06-26 19:30:00,1
2019-06-26 19:32:00,1
2019-06-26 19:33:00,1
2019-06-26 19:35:00,1
2019-06-26 19:36:00,1
2019-06-26 19:39:00,2
2019-06-26 19:45:00,1
2019-06-26 19:52:00,1
2019-06-26 19:56:00,1
2019-06-26 20:00:00,1
2019-06-26 20:01:00,1
2019-06-26 20:04:00,2
2019-06-26 20:12:00,1
2019-06-26 20:19:00,1
2019-06-26 20:27:00,1
2019-06-26 20:32:00,1
2019-06-26 20:35:00,1
2019-06-26 20:38:00,2
2019-06-26 20:43:00,2
2019-06-26 20:52:00,1
2019-06-26 20:58:00,1
2019-06-26 21:02:00,2
2019-06-26 21:07:00,2
2019-06-26 21:12:00,1
2019-06-26 21:56:00,1
2019-06-26 21:58:00,1
2019-06-26 21:59:00,1
2019-06-26 22:03:00,2
2019-06-26 22:08:00,1
2019-06-26 22:10:00,1
2019-06-26 22:31:00,1
2019-06-26 22:43:00,2
2019-06-26 22:48:00,1
2019-06-26 22:58:00,1
2019-06-26 23:03:00,1
2019-06-26 23:06:00,1
2019-06-26 23:20:00,1
2019-06-26 23:25:00,1
2019-06-26 23:31:00,1
2019-06-26 23:32:00,1
2019-06-26 23:38:00,1
2019-06-26 23:40:00,1
2019-06-26 23:44:00,1
2019-06-26 23:46:00,2
2019-06-26 23:48:00,1
2019-06-26 23:51:00,3
2019-06-26 23:55:00,3
2019-06-27 08:54:00,1
2019-06-27 17:29:00,1
2019-06-27 17:30:00,2
2019-06-28 00:14:00,1
2019-06-28 14:04:00,2
2019-06-28 15:00:00,3
2019-06-28 15:01:00,1
2019-06-30 16:40:00,1
2019-07-01 08:33:00,1
2019-07-01 14:18:00,3
2019-07-01 23:56:00,1
2019-07-02 00:00:00,1
2019-07-02 00:02:00,1
2019-07-02 00:05:00,1
2019-07-02 00:08:00,1
2019-07-02 00:33:00,2
2019-07-02 00:37:00,1
2019-07-02 00:42:00,1
2019-07-02 00:46:00,1
2019-07-02 00:47:00,1
2019-07-02 00:50:00,2
2019-07-02 00:52:00,1
2019-07-02 00:54:00,2
2019-07-02 00:57:00,1
2019-07-02 00:58:00,1
2019-07-02 01:01:00,1
2019-07-02 01:02:00,1
2019-07-02 01:05:00,1
2019-07-02 01:06:00,1
2019-07-02 01:09:00,1
2019-07-02 01:10:00,1
2019-07-02 01:12:00,1
2019-07-02 01:13:00,1
2019-07-02 01:18:00,1
2019-07-02 01:23:00,1
2019-07-02 01:27:00,1
2019-07-02 02:01:00,1
2019-07-02 02:06:00,1
2019-07-02 02:10:00,1
2019-07-02 02:12:00,1
2019-07-02 02:13:00,1
2019-07-02 02:15:00,1
2019-07-02 02:17:00,1
2019-07-02 02:19:00,2
2019-07-02 02:22:00,2
2019-07-02 02:23:00,1
2019-07-02 02:25:00,1
2019-07-02 02:26:00,2
2019-07-02 02:30:00,1
2019-07-02 02:33:00,1
2019-07-02 02:34:00,1
2019-07-02 02:38:00,1
2019-07-02 02:41:00,1
2019-07-02 03:10:00,1
2019-07-02 03:13:00,1
2019-07-02 03:17:00,1
2019-07-02 03:21:00,1
2019-07-02 03:26:00,1
2019-07-02 03:29:00,2
2019-07-02 03:33:00,1
2019-07-02 03:34:00,1
2019-07-02 03:37:00,1
2019-07-02 03:41:00,1
2019-07-02 03:45:00,1
2019-07-02 03:47:00,1
2019-07-02 03:49:00,1
2019-07-02 03:52:00,1
2019-07-02 03:55:00,1
2019-07-02 04:04:00,1
2019-07-02 04:08:00,1
2019-07-02 04:18:00,1
2019-07-02 05:03:00,1
2019-07-02 05:07:00,1
2019-07-02 05:10:00,1
2019-07-02 05:12:00,1
2019-07-02 05:14:00,1
2019-07-02 05:17:00,2
2019-07-02 05:20:00,2
2019-07-02 05:23:00,2
2019-07-02 05:27:00,1
2019-07-02 05:29:00,1
2019-07-02 05:30:00,1
2019-07-02 05:32:00,1
2019-07-02 05:37:00,1
2019-07-02 06:35:00,1
2019-07-02 06:38:00,1
2019-07-02 06:41:00,1
2019-07-02 06:50:00,1
2019-07-02 06:54:00,1
2019-07-02 07:10:00,1
2019-07-02 07:13:00,1
2019-07-02 07:18:00,1
2019-07-02 07:35:00,1
2019-07-02 07:40:00,1
2019-07-02 07:55:00,1
2019-07-02 07:58:00,1
2019-07-02 08:01:00,1
2019-07-02 08:04:00,1
2019-07-02 08:08:00,1
2019-07-02 08:11:00,1
2019-07-02 08:16:00,1
2019-07-02 08:51:00,1
2019-07-02 08:55:00,1
2019-07-02 08:59:00,1
2019-07-02 09:03:00,1
2019-07-02 09:06:00,1
2019-07-02 09:18:00,1
2019-07-02 09:22:00,1
2019-07-02 09:25:00,1
2019-07-02 09:29:00,1
2019-07-02 09:32:00,1
2019-07-02 09:35:00,1
2019-07-02 09:38:00,1
2019-07-02 09:42:00,2
2019-07-02 09:46:00,1
2019-07-02 10:04:00,1
2019-07-02 10:08:00,1
2019-07-02 10:11:00,1
2019-07-02 10:14:00,1
2019-07-02 10:18:00,1
2019-07-02 10:23:00,1
2019-07-03 08:12:00,12
2019-07-03 08:15:00,2
2019-07-03 08:16:00,2
2019-07-03 08:17:00,1
2019-07-03 08:28:00,8
2019-07-03 08:29:00,5
2019-07-03 08:32:00,10
2019-07-03 08:33:00,12
2019-07-03 08:34:00,5
2019-07-03 14:08:00,6
2019-07-03 14:10:00,7
2019-07-03 14:19:00,1
2019-07-03 14:25:00,4
2019-07-03 14:29:00,1
2019-07-08 15:06:00,1
2019-07-08 15:10:00,1
2019-07-11 03:49:00,1
2019-07-11 03:53:00,1
2019-07-11 03:57:00,1
2019-07-11 04:02:00,1
2019-07-11 04:09:00,1
2019-07-11 04:14:00,1
2019-07-11 04:17:00,1
2019-07-11 04:22:00,1
2019-07-11 04:25:00,1
2019-07-11 04:29:00,1
2019-07-11 04:32:00,1
2019-07-11 04:37:00,1
2019-07-11 04:40:00,1
2019-07-11 04:44:00,1
2019-07-11 04:50:00,1
2019-07-11 04:53:00,1
2019-07-11 04:57:00,1
2019-07-11 05:01:00,1
2019-07-11 05:05:00,1
2019-07-11 05:09:00,1
2019-07-11 05:12:00,1
2019-07-11 05:16:00,1
2019-07-11 05:20:00,1
2019-07-11 05:23:00,1
2019-07-11 05:26:00,1
2019-07-11 05:30:00,1
2019-07-11 05:33:00,1
2019-07-11 05:36:00,1
2019-07-11 05:40:00,1
2019-07-11 05:43:00,1
2019-07-11 05:46:00,1
2019-07-11 05:49:00,1
2019-07-11 05:52:00,1
2019-07-11 05:55:00,1
2019-07-11 05:58:00,1
2019-07-11 06:02:00,1
2019-07-11 06:05:00,1
2019-07-11 06:09:00,1
2019-07-11 06:12:00,1
2019-07-11 06:15:00,1
2019-07-11 06:19:00,1
2019-07-11 06:22:00,1
2019-07-11 06:26:00,1
2019-07-11 06:30:00,1
2019-07-11 06:34:00,1
2019-07-11 06:38:00,1
2019-07-11 06:41:00,1
2019-07-11 06:45:00,1
2019-07-11 06:49:00,1
2019-07-11 06:53:00,1
2019-07-11 06:57:00,1
2019-07-11 07:01:00,1
2019-07-11 07:04:00,1
2019-07-11 07:08:00,1
2019-07-11 07:12:00,1
2019-07-11 07:15:00,1
2019-07-11 07:19:00,1
2019-07-11 07:23:00,1
2019-07-11 07:26:00,1
2019-07-11 07:29:00,1
2019-07-11 07:33:00,1
2019-07-11 07:36:00,1
2019-07-11 07:39:00,1
2019-07-11 07:46:00,1
2019-07-11 07:56:00,1
2019-07-11 08:09:00,1
2019-07-11 08:14:00,1
2019-07-11 08:18:00,1
2019-07-11 08:22:00,1
2019-07-11 08:33:00,1
2019-07-11 08:56:00,1
2019-07-11 09:02:00,1
2019-07-11 09:08:00,1
2019-07-11 09:13:00,1
2019-07-11 09:16:00,1
2019-07-11 09:20:00,1
2019-07-11 09:23:00,1
2019-07-11 09:54:00,1
2019-07-11 10:20:00,1
2019-07-11 10:42:00,1
2019-07-11 11:05:00,1
2019-07-11 11:20:00,1
2019-07-11 11:21:00,1
2019-07-11 11:24:00,1
2019-07-11 11:28:00,1
2019-07-11 11:29:00,1
2019-07-11 11:43:00,1
2019-07-11 11:49:00,1
2019-07-11 12:01:00,2
2019-07-11 12:04:00,1
2019-07-11 12:06:00,1
2019-07-11 12:08:00,1
2019-07-11 12:10:00,2
2019-07-11 12:14:00,2
2019-07-11 12:16:00,1
2019-07-11 12:19:00,1
2019-07-11 12:20:00,1
2019-07-11 12:22:00,1
2019-07-11 12:25:00,1
2019-07-11 12:26:00,1
2019-07-11 12:29:00,1
2019-07-11 12:30:00,1
2019-07-11 12:33:00,1
2019-07-11 12:34:00,1
2019-07-11 12:36:00,1
2019-07-11 12:37:00,1
2019-07-11 12:40:00,1
2019-07-11 12:41:00,1
2019-07-11 12:43:00,1
2019-07-11 12:44:00,1
2019-07-11 12:46:00,1
2019-07-11 12:47:00,1
2019-07-11 12:50:00,2
2019-07-11 12:53:00,1
2019-07-11 12:54:00,1
2019-07-11 12:56:00,1
2019-07-11 12:57:00,1
2019-07-11 12:59:00,1
2019-07-11 13:00:00,1
2019-07-11 13:03:00,1
2019-07-11 13:04:00,1
2019-07-11 13:06:00,1
2019-07-11 13:07:00,1
2019-07-11 13:10:00,1
2019-07-11 13:11:00,1
2019-07-11 13:13:00,1
2019-07-11 13:14:00,1
2019-07-11 13:17:00,2
2019-07-11 13:20:00,1
2019-07-11 17:06:00,1
2019-07-11 17:10:00,1
2019-07-11 17:18:00,1
2019-07-11 17:23:00,1
2019-07-11 17:27:00,1
2019-07-11 17:29:00,1
2019-07-11 17:33:00,1
2019-07-11 17:36:00,1
2019-07-11 17:42:00,1
2019-07-11 17:46:00,2
2019-07-11 17:53:00,2
2019-07-11 17:57:00,2
2019-07-11 18:01:00,1
2019-07-11 18:05:00,1
2019-07-11 18:08:00,1
2019-07-11 18:11:00,1
2019-07-11 18:20:00,1
2019-07-11 18:23:00,1
2019-07-11 18:26:00,1
2019-07-11 18:29:00,1
2019-07-11 18:32:00,1
2019-07-11 18:35:00,1
2019-07-11 18:38:00,1
2019-07-11 18:43:00,2
2019-07-11 18:50:00,1
2019-07-11 18:51:00,1
2019-07-11 18:55:00,2
2019-07-11 18:57:00,1
2019-07-11 19:03:00,2
2019-07-11 19:09:00,1
2019-07-11 19:13:00,1
2019-07-11 19:20:00,1
2019-07-11 19:26:00,1
2019-07-11 19:31:00,1
2019-07-11 19:48:00,1
2019-07-11 19:59:00,1
2019-07-11 20:08:00,1
2019-07-11 20:17:00,1
2019-07-11 20:19:00,1
2019-07-11 20:46:00,1
2019-07-11 20:53:00,1
2019-07-11 20:54:00,1
2019-07-11 21:08:00,1
2019-07-11 21:17:00,1
2019-07-11 21:27:00,1
2019-07-11 21:29:00,1
2019-07-11 21:43:00,1
2019-07-11 22:19:00,1
2019-07-11 22:28:00,1
2019-07-11 22:31:00,1
2019-07-11 22:39:00,1
2019-07-11 22:46:00,2
2019-07-11 22:54:00,1
2019-07-11 22:59:00,1
2019-07-11 23:08:00,1
2019-07-11 23:15:00,1
2019-07-11 23:20:00,1
2019-07-11 23:23:00,2
2019-07-11 23:24:00,1
2019-07-11 23:28:00,1
2019-07-11 23:29:00,1
2019-07-11 23:33:00,1
2019-07-11 23:34:00,1
2019-07-11 23:39:00,2
2019-07-11 23:44:00,2
2019-07-11 23:50:00,1
2019-07-11 23:51:00,1
2019-07-11 23:54:00,1
2019-07-11 23:55:00,1
2019-07-11 23:58:00,1
2019-07-11 23:59:00,1
2019-07-12 00:02:00,1
2019-07-12 00:03:00,1
2019-07-12 00:06:00,3
2019-07-12 00:12:00,2
2019-07-12 00:26:00,1
2019-07-12 00:31:00,1
2019-07-12 00:34:00,1
2019-07-12 00:35:00,1
2019-07-12 00:37:00,1
2019-07-12 00:38:00,1
2019-07-12 00:46:00,1
2019-07-12 00:51:00,1
2019-07-12 00:55:00,3
2019-07-12 01:00:00,5
2019-07-12 01:07:00,5
2019-07-12 01:15:00,2
2019-07-12 01:30:00,1
2019-07-12 01:34:00,1
2019-07-12 03:53:00,1
2019-07-12 04:16:00,1
2019-07-12 04:34:00,1
2019-07-12 04:59:00,1
2019-07-12 05:45:00,1
2019-07-12 05:48:00,1
2019-07-12 05:52:00,1
2019-07-12 05:56:00,1
2019-07-12 06:05:00,1
2019-07-12 06:44:00,1
2019-07-12 06:59:00,1
2019-07-12 16:12:00,1
2019-07-12 16:13:00,1
2019-07-12 16:18:00,1
2019-07-12 16:21:00,1
2019-07-12 16:25:00,1
2019-07-12 16:28:00,1
2019-07-12 16:34:00,2
2019-07-12 16:42:00,1
2019-07-12 16:50:00,1
2019-07-12 16:54:00,1
2019-07-12 17:00:00,1
2019-07-12 17:03:00,2
2019-07-12 17:12:00,2
2019-07-12 17:16:00,1
2019-07-12 17:20:00,1
2019-07-12 17:21:00,1
2019-07-12 17:28:00,1
2019-07-12 17:29:00,1
2019-07-12 17:32:00,1
2019-07-12 17:38:00,1
2019-07-12 17:41:00,1
2019-07-12 17:44:00,1
2019-07-12 17:52:00,1
2019-07-12 17:53:00,1
2019-07-12 17:56:00,1
2019-07-12 18:00:00,1
2019-07-12 18:02:00,1
2019-07-12 18:10:00,1
2019-07-12 18:12:00,1
2019-07-12 18:18:00,1
2019-07-12 18:21:00,2
2019-07-12 18:29:00,1
2019-07-12 18:30:00,2
2019-07-12 18:39:00,2
2019-07-12 18:41:00,1
2019-07-12 18:52:00,2
2019-07-12 18:53:00,1
2019-07-12 18:58:00,1
2019-07-12 19:05:00,1
2019-07-12 19:06:00,2
2019-07-12 19:11:00,1
2019-07-12 19:14:00,1
2019-07-12 19:15:00,1
2019-07-12 19:20:00,1
2019-07-12 19:26:00,1
2019-07-12 19:32:00,1
2019-07-12 19:38:00,1
2019-07-12 19:45:00,1
2019-07-12 19:50:00,1
2019-07-12 20:05:00,1
2019-07-12 20:11:00,2
2019-07-12 20:33:00,1
2019-07-12 20:54:00,1
2019-07-12 20:55:00,1
2019-07-12 21:00:00,1
2019-07-12 21:31:00,1
2019-07-12 22:02:00,1
2019-07-12 22:34:00,1
2019-07-12 22:41:00,1
2019-07-12 22:47:00,1
2019-07-12 22:50:00,1
2019-07-12 22:51:00,1
2019-07-12 22:56:00,2
2019-07-12 23:04:00,1
2019-07-12 23:11:00,1
2019-07-12 23:14:00,1
2019-07-12 23:16:00,1
2019-07-12 23:21:00,1
2019-07-12 23:26:00,1
2019-07-12 23:33:00,1
2019-07-12 23:40:00,1
2019-07-12 23:49:00,1
2019-07-12 23:51:00,1
2019-07-12 23:54:00,1
2019-07-13 00:10:00,1
2019-07-13 00:32:00,1
2019-07-13 00:42:00,1
2019-07-13 00:43:00,1
2019-07-13 00:46:00,1
2019-07-13 00:51:00,1
2019-07-13 00:52:00,1
2019-07-13 00:56:00,1
2019-07-13 00:59:00,1
2019-07-13 01:07:00,1
2019-07-13 01:17:00,1
2019-07-13 01:20:00,1
2019-07-13 01:21:00,1
2019-07-13 01:24:00,1
2019-07-13 01:46:00,1
2019-07-13 01:51:00,1
2019-07-13 01:53:00,1
2019-07-13 01:55:00,1
2019-07-13 01:58:00,1
2019-07-13 02:11:00,2
2019-07-13 02:15:00,2
2019-07-13 02:17:00,1
2019-07-13 02:18:00,2
2019-07-15 16:43:00,1
2019-07-15 16:45:00,1
2019-07-15 16:52:00,1
2019-07-15 16:55:00,1
2019-07-15 16:59:00,1
2019-07-15 17:03:00,1
2019-07-15 17:07:00,1
2019-07-15 17:10:00,1
2019-07-15 17:15:00,1
2019-07-15 17:27:00,1
2019-07-15 17:29:00,1
2019-07-15 17:34:00,1
2019-07-15 17:38:00,1
2019-07-15 17:42:00,1
2019-07-15 17:45:00,1
2019-07-15 17:49:00,1
2019-07-15 17:57:00,1
2019-07-15 18:00:00,1
2019-07-15 18:02:00,1
2019-07-15 18:03:00,1
2019-07-15 18:07:00,1
2019-07-15 18:11:00,1
2019-07-15 18:15:00,1
2019-07-15 18:18:00,1
2019-07-15 18:26:00,1
2019-07-15 18:30:00,1
2019-07-15 18:33:00,1
2019-07-15 18:34:00,1
2019-07-15 18:39:00,1
2019-07-15 18:47:00,1
2019-07-15 18:50:00,1
2019-07-15 18:55:00,1
2019-07-15 18:57:00,1
2019-07-15 19:01:00,1
2019-07-15 19:05:00,1
2019-07-15 19:08:00,1
2019-07-15 19:13:00,1
2019-07-15 19:17:00,1
2019-07-15 19:21:00,1
2019-07-15 19:24:00,1
2019-07-15 19:29:00,1
2019-07-15 19:31:00,1
2019-07-15 19:40:00,1
2019-07-15 19:45:00,1
2019-07-15 19:49:00,1
2019-07-15 19:59:00,1
2019-07-15 20:03:00,1
2019-07-15 20:07:00,2
2019-07-15 20:15:00,1
2019-07-15 20:20:00,1
2019-07-15 20:22:00,1
2019-07-15 20:25:00,1
2019-07-15 20:35:00,1
2019-07-15 20:45:00,1
2019-07-15 21:06:00,1
2019-07-15 21:07:00,1
2019-07-15 21:25:00,4
2019-07-15 22:04:00,1
2019-07-15 22:21:00,1
2019-07-15 22:39:00,1
2019-07-15 22:47:00,1
2019-07-15 22:53:00,1
2019-07-15 22:57:00,1
2019-07-15 23:03:00,1
2019-07-15 23:10:00,1
2019-07-15 23:18:00,1
2019-07-15 23:25:00,1
2019-07-16 00:00:00,1
2019-07-16 00:04:00,1
2019-07-16 00:07:00,1
2019-07-16 00:17:00,1
2019-07-16 00:26:00,1
2019-07-16 00:30:00,2
2019-07-16 00:34:00,1
2019-07-16 00:35:00,1
2019-07-16 00:39:00,2
2019-07-16 00:44:00,1
2019-07-16 00:49:00,1
2019-07-16 00:55:00,1
2019-07-16 00:56:00,1
2019-07-16 01:00:00,2
2019-07-16 01:13:00,2
2019-07-16 01:17:00,2
2019-07-16 01:26:00,1
2019-07-16 01:32:00,1
2019-07-16 01:36:00,1
2019-07-16 01:40:00,1
2019-07-16 01:45:00,1
2019-07-16 01:50:00,1
2019-07-16 01:53:00,1
2019-07-16 01:57:00,1
2019-07-16 02:01:00,2
2019-07-16 02:07:00,2
2019-07-16 02:11:00,2
2019-07-16 02:22:00,1
2019-07-16 02:23:00,1
2019-07-16 03:07:00,2
2019-07-16 03:10:00,1
2019-07-16 03:11:00,2
2019-07-16 03:14:00,3
2019-07-16 03:17:00,2
2019-07-16 03:18:00,1
2019-07-16 03:20:00,1
2019-07-16 03:21:00,2
2019-07-16 03:24:00,2
2019-07-16 03:26:00,1
2019-07-16 03:27:00,1
2019-07-16 03:28:00,1
2019-07-16 03:29:00,1
2019-07-16 03:32:00,1
2019-07-16 16:55:00,1
2019-07-16 16:57:00,1
2019-07-16 17:00:00,1
2019-07-16 17:06:00,1
2019-07-16 17:12:00,1
2019-07-16 17:17:00,1
2019-07-16 17:22:00,1
2019-07-16 17:24:00,1
2019-07-16 17:31:00,1
2019-07-16 17:40:00,2
2019-07-16 17:48:00,1
2019-07-16 17:51:00,1
2019-07-16 18:02:00,1
2019-07-16 18:05:00,1
2019-07-16 18:09:00,1
2019-07-16 18:12:00,1
2019-07-16 18:20:00,1
2019-07-16 18:25:00,1
2019-07-16 18:26:00,1
2019-07-16 18:30:00,1
2019-07-16 18:36:00,1
2019-07-16 18:38:00,1
2019-07-16 18:39:00,1
2019-07-16 18:45:00,1
2019-07-16 18:46:00,1
2019-07-16 18:54:00,1
2019-07-16 18:57:00,1
2019-07-16 19:06:00,1
2019-07-16 19:10:00,1
2019-07-16 19:17:00,2
2019-07-16 19:24:00,1
2019-07-16 19:35:00,4
2019-07-16 19:57:00,1
2019-07-16 20:00:00,1
2019-07-16 20:01:00,1
2019-07-16 20:35:00,1
2019-07-16 20:39:00,1
2019-07-16 20:57:00,1
2019-07-16 21:41:00,1
2019-07-16 22:07:00,1
2019-07-16 22:23:00,1
2019-07-16 22:46:00,1
2019-07-16 23:08:00,1
2019-07-16 23:09:00,1
2019-07-16 23:13:00,1
2019-07-16 23:14:00,1
2019-07-16 23:17:00,1
2019-07-16 23:18:00,1
2019-07-16 23:20:00,1
2019-07-16 23:21:00,1
2019-07-16 23:23:00,1
2019-07-16 23:24:00,1
2019-07-16 23:25:00,1
2019-07-16 23:34:00,2
2019-07-16 23:45:00,2
2019-07-16 23:48:00,1
2019-07-16 23:55:00,2
2019-07-16 23:59:00,2
2019-07-17 00:03:00,2
2019-07-17 00:06:00,1
2019-07-17 00:07:00,1
2019-07-17 00:08:00,1
2019-07-17 00:12:00,1
2019-07-17 00:18:00,2
2019-07-17 00:23:00,2
2019-07-17 00:27:00,1
2019-07-17 00:33:00,1
2019-07-17 00:41:00,1
2019-07-17 00:47:00,1
2019-07-17 00:51:00,1
2019-07-17 00:55:00,1
2019-07-17 00:59:00,1
2019-07-17 01:03:00,2
2019-07-17 01:07:00,2
2019-07-17 01:11:00,1
2019-07-17 01:57:00,1
2019-07-17 01:58:00,2
2019-07-17 02:02:00,1
2019-07-17 02:09:00,1
2019-07-17 02:11:00,1
2019-07-17 08:46:00,6
2019-07-17 08:47:00,5
2019-07-17 09:22:00,4
2019-07-17 09:25:00,2
2019-07-21 18:47:00,1
2019-07-21 18:55:00,4
2019-07-21 19:12:00,1
2019-07-21 19:28:00,2
2019-07-21 19:46:00,1
2019-07-21 19:48:00,1
2019-07-21 20:01:00,1
2019-07-21 20:23:00,1
2019-07-21 20:35:00,1
2019-07-21 20:39:00,1
2019-07-21 20:42:00,1
2019-07-21 20:45:00,1
2019-07-21 21:30:00,1
2019-07-21 21:33:00,1
2019-07-21 21:38:00,1
2019-07-21 21:39:00,1
2019-07-21 22:19:00,1
2019-07-21 22:36:00,1
2019-07-21 22:58:00,1
