1759,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #) AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i <= # AND po.ra BETWEEN # AND #"
2019-07-31 09:59:00,2
2019-07-31 10:00:00,3
2019-07-31 10:01:00,2
2019-07-31 10:02:00,1
2019-07-31 10:03:00,2
2019-07-31 10:07:00,3
2019-07-31 10:08:00,2
2019-07-31 10:09:00,2
2019-07-31 10:10:00,1
2019-07-31 10:11:00,3
2019-07-31 10:12:00,1
2019-07-31 10:14:00,3
2019-07-31 10:15:00,1
2019-07-31 10:16:00,1
2019-07-31 10:17:00,3
2019-07-31 10:19:00,4
2019-07-31 10:20:00,1
2019-07-31 10:21:00,1
2019-07-31 10:22:00,1
2019-07-31 10:23:00,3
2019-07-31 10:25:00,9
2019-07-31 10:27:00,3
2019-07-31 10:28:00,1
2019-07-31 10:29:00,3
2019-07-31 10:30:00,1
2019-07-31 10:31:00,3
2019-07-31 10:32:00,1
2019-07-31 10:33:00,1
2019-07-31 10:34:00,3
2019-07-31 10:35:00,1
2019-07-31 10:37:00,5
2019-07-31 10:38:00,2
2019-07-31 10:39:00,1
2019-07-31 10:40:00,3
2019-07-31 10:42:00,4
2019-07-31 10:44:00,3
2019-07-31 10:46:00,2
2019-07-31 10:47:00,2
2019-07-31 10:48:00,3
2019-07-31 10:49:00,1
2019-07-31 10:50:00,2
2019-07-31 10:51:00,2
2019-07-31 10:52:00,2
2019-07-31 10:54:00,4
2019-07-31 10:56:00,3
2019-07-31 10:57:00,2
2019-07-31 10:58:00,2
2019-07-31 10:59:00,1
2019-07-31 11:00:00,1
2019-07-31 11:01:00,3
2019-07-31 11:02:00,2
2019-07-31 11:03:00,2
2019-07-31 11:06:00,2
2019-07-31 11:07:00,3
2019-07-31 11:08:00,1
2019-07-31 11:10:00,3
2019-07-31 11:11:00,2
2019-07-31 11:13:00,3
2019-07-31 11:14:00,1
2019-07-31 11:15:00,1
2019-07-31 11:16:00,1
2019-07-31 11:17:00,4
2019-07-31 11:19:00,3
2019-07-31 11:20:00,2
2019-07-31 11:21:00,1
2019-07-31 11:22:00,1
2019-07-31 11:23:00,1
2019-07-31 11:24:00,3
2019-07-31 11:26:00,3
2019-07-31 11:27:00,1
2019-07-31 11:28:00,1
2019-07-31 11:29:00,3
2019-07-31 11:30:00,1
2019-07-31 11:31:00,1
2019-07-31 11:32:00,2
2019-07-31 11:33:00,2
2019-07-31 11:35:00,2
2019-07-31 11:36:00,1
2019-07-31 11:37:00,3
2019-07-31 11:38:00,2
2019-07-31 11:39:00,1
2019-07-31 11:41:00,3
2019-07-31 11:42:00,1
2019-07-31 11:43:00,3
2019-07-31 11:44:00,1
2019-07-31 11:45:00,2
2019-07-31 11:46:00,3
2019-07-31 11:47:00,1
2019-07-31 11:48:00,1
2019-07-31 11:49:00,5
2019-07-31 11:50:00,3
2019-07-31 11:51:00,1
2019-07-31 11:52:00,1
2019-07-31 11:53:00,3
2019-07-31 11:55:00,2
2019-07-31 11:56:00,2
2019-07-31 11:57:00,3
2019-07-31 11:58:00,1
2019-07-31 11:59:00,1
2019-07-31 12:00:00,1
2019-07-31 12:01:00,6
2019-07-31 12:02:00,2
2019-07-31 12:03:00,1
2019-07-31 12:04:00,1
2019-07-31 12:06:00,1
2019-07-31 12:08:00,4
2019-07-31 12:10:00,2
2019-07-31 12:11:00,2
2019-07-31 12:12:00,5
2019-07-31 12:13:00,2
2019-07-31 12:15:00,3
2019-07-31 12:16:00,2
2019-07-31 12:17:00,2
2019-07-31 12:18:00,3
2019-07-31 12:19:00,1
2019-07-31 12:20:00,3
2019-07-31 12:21:00,1
2019-07-31 12:22:00,3
2019-07-31 12:23:00,2
2019-07-31 12:24:00,2
2019-07-31 12:25:00,2
2019-07-31 12:27:00,4
2019-07-31 12:29:00,3
2019-07-31 12:30:00,2
2019-07-31 12:31:00,2
2019-07-31 12:32:00,2
2019-07-31 12:33:00,1
2019-07-31 12:34:00,3
2019-07-31 12:35:00,2
2019-07-31 12:36:00,1
2019-07-31 12:37:00,3
2019-07-31 12:38:00,1
2019-07-31 12:39:00,2
2019-07-31 12:40:00,2
2019-07-31 12:41:00,4
2019-07-31 12:42:00,2
2019-07-31 12:43:00,1
2019-07-31 12:44:00,5
2019-07-31 12:46:00,5
2019-07-31 12:47:00,1
2019-07-31 12:48:00,2
2019-07-31 12:49:00,5
2019-07-31 12:50:00,3
2019-07-31 12:51:00,2
2019-07-31 12:52:00,2
2019-07-31 12:53:00,3
2019-07-31 12:54:00,1
2019-07-31 12:55:00,3
2019-07-31 12:56:00,1
2019-07-31 12:57:00,3
2019-07-31 12:58:00,3
2019-07-31 12:59:00,2
2019-07-31 13:00:00,2
2019-07-31 13:01:00,2
2019-07-31 13:02:00,2
2019-07-31 13:03:00,3
2019-07-31 13:04:00,2
2019-07-31 13:06:00,2
2019-07-31 13:07:00,4
2019-07-31 13:08:00,1
2019-07-31 13:09:00,3
2019-07-31 13:10:00,5
2019-07-31 13:11:00,1
2019-07-31 13:12:00,4
2019-07-31 13:13:00,5
2019-07-31 13:14:00,1
2019-07-31 13:15:00,2
2019-07-31 13:16:00,3
2019-07-31 13:17:00,2
2019-07-31 13:18:00,3
2019-07-31 13:19:00,1
2019-07-31 13:20:00,3
2019-07-31 13:21:00,1
2019-07-31 13:22:00,4
2019-07-31 13:23:00,3
2019-07-31 13:24:00,4
2019-07-31 13:25:00,2
2019-07-31 13:26:00,3
2019-07-31 13:27:00,2
2019-07-31 13:28:00,4
2019-07-31 13:29:00,2
2019-07-31 13:30:00,4
2019-07-31 13:31:00,2
2019-07-31 13:32:00,3
2019-07-31 13:33:00,1
2019-07-31 13:34:00,1
2019-07-31 13:35:00,5
2019-07-31 13:36:00,1
2019-07-31 13:37:00,4
2019-07-31 13:38:00,2
2019-07-31 13:39:00,3
2019-07-31 13:40:00,2
2019-07-31 13:41:00,3
2019-07-31 13:43:00,4
2019-07-31 13:44:00,3
2019-07-31 13:45:00,2
2019-07-31 13:46:00,1
2019-07-31 13:47:00,4
2019-07-31 13:48:00,1
2019-07-31 13:49:00,5
2019-07-31 13:50:00,1
2019-07-31 13:51:00,4
2019-07-31 13:52:00,2
2019-07-31 13:53:00,1
2019-07-31 13:54:00,3
2019-07-31 13:55:00,2
2019-07-31 13:56:00,5
2019-07-31 13:58:00,5
2019-07-31 13:59:00,2
2019-07-31 14:00:00,3
2019-07-31 14:01:00,1
2019-07-31 14:02:00,5
2019-07-31 14:03:00,1
2019-07-31 14:04:00,4
2019-07-31 14:05:00,2
2019-07-31 14:06:00,3
2019-07-31 14:07:00,4
2019-07-31 14:08:00,1
2019-07-31 14:09:00,4
2019-07-31 14:10:00,2
2019-07-31 14:11:00,4
2019-07-31 14:12:00,2
2019-07-31 14:13:00,2
2019-07-31 14:14:00,2
2019-07-31 14:15:00,1
2019-07-31 14:16:00,4
2019-07-31 14:17:00,2
2019-07-31 14:18:00,4
2019-07-31 14:19:00,1
2019-07-31 14:20:00,4
2019-07-31 14:21:00,3
2019-07-31 14:22:00,4
2019-07-31 14:23:00,2
2019-07-31 14:24:00,3
2019-07-31 14:25:00,1
2019-07-31 14:26:00,1
2019-07-31 14:27:00,3
2019-07-31 14:28:00,2
2019-07-31 14:30:00,3
2019-07-31 14:31:00,1
2019-07-31 14:32:00,2
2019-07-31 14:33:00,3
2019-07-31 14:34:00,2
2019-07-31 14:35:00,1
2019-07-31 14:36:00,4
2019-07-31 14:38:00,2
2019-07-31 14:39:00,5
2019-07-31 14:41:00,4
2019-07-31 14:42:00,2
2019-07-31 14:43:00,4
2019-07-31 14:44:00,1
2019-07-31 14:45:00,2
2019-07-31 14:46:00,2
2019-07-31 14:47:00,3
2019-07-31 14:48:00,2
2019-07-31 14:49:00,3
2019-07-31 14:50:00,2
2019-07-31 14:51:00,3
2019-07-31 14:53:00,3
2019-07-31 14:54:00,1
2019-07-31 14:55:00,3
2019-07-31 14:56:00,2
2019-07-31 14:57:00,4
2019-07-31 14:58:00,1
2019-07-31 14:59:00,3
2019-07-31 15:00:00,3
2019-07-31 15:01:00,3
2019-07-31 15:02:00,1
2019-07-31 15:03:00,3
2019-07-31 15:04:00,3
2019-07-31 15:05:00,3
2019-07-31 15:06:00,4
2019-07-31 15:07:00,1
2019-07-31 15:08:00,4
2019-07-31 15:09:00,4
2019-07-31 15:10:00,2
2019-07-31 15:11:00,1
2019-07-31 15:12:00,4
2019-07-31 15:13:00,6
2019-07-31 15:14:00,1
2019-07-31 15:15:00,4
2019-07-31 15:16:00,3
2019-07-31 15:17:00,1
2019-07-31 15:18:00,4
2019-07-31 15:19:00,4
2019-07-31 15:20:00,1
2019-07-31 15:21:00,4
2019-07-31 15:22:00,4
2019-07-31 15:23:00,3
2019-07-31 15:24:00,5
2019-07-31 15:25:00,5
2019-07-31 15:26:00,2
2019-07-31 15:27:00,4
2019-07-31 15:28:00,7
