31460,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID WHERE G.modelMag_r < # and G.modelMag_g < #"
2019-06-26 13:11:00,29
2019-06-26 13:12:00,31
2019-06-26 13:13:00,31
2019-06-26 13:14:00,30
2019-06-26 13:15:00,30
2019-06-26 13:16:00,32
2019-06-26 13:17:00,30
2019-06-26 13:18:00,30
2019-06-26 13:19:00,27
2019-06-26 13:20:00,30
2019-06-26 13:21:00,31
2019-06-26 13:22:00,30
2019-06-26 13:23:00,31
2019-06-26 13:24:00,31
2019-06-26 13:25:00,30
2019-06-26 13:26:00,31
2019-06-26 13:27:00,28
2019-06-26 13:28:00,31
2019-06-26 13:29:00,29
2019-06-26 13:30:00,30
2019-06-26 13:31:00,30
2019-06-26 13:32:00,31
2019-06-26 13:33:00,26
2019-06-26 13:34:00,30
2019-06-26 13:35:00,29
2019-06-26 13:36:00,31
2019-06-26 13:37:00,29
2019-06-26 13:38:00,30
2019-06-26 13:39:00,27
2019-06-26 13:40:00,31
2019-06-26 13:41:00,29
2019-06-26 13:42:00,28
2019-06-26 13:43:00,30
2019-06-26 13:44:00,31
2019-06-26 13:45:00,31
2019-06-26 13:46:00,30
2019-06-26 13:47:00,29
2019-06-26 13:48:00,30
2019-06-26 13:49:00,27
2019-06-26 13:50:00,29
2019-06-26 13:51:00,30
2019-06-26 13:52:00,30
2019-06-26 13:53:00,30
2019-06-26 13:54:00,31
2019-06-26 13:55:00,29
2019-06-26 13:56:00,30
2019-06-26 13:57:00,31
2019-06-26 13:58:00,30
2019-06-26 13:59:00,28
2019-06-26 14:00:00,29
2019-06-26 14:01:00,30
2019-06-26 14:02:00,28
2019-06-26 14:03:00,30
2019-06-26 14:04:00,30
2019-06-26 14:05:00,21
2019-06-26 14:06:00,30
2019-06-26 14:07:00,29
2019-06-26 14:08:00,32
2019-06-26 14:09:00,28
2019-06-26 14:10:00,30
2019-06-26 14:11:00,28
2019-06-26 14:12:00,29
2019-06-26 14:13:00,30
2019-06-26 14:14:00,31
2019-06-26 14:15:00,27
2019-06-26 14:16:00,31
2019-06-26 14:17:00,31
2019-06-26 14:18:00,29
2019-06-26 14:19:00,27
2019-06-26 14:20:00,30
2019-06-26 14:21:00,30
2019-06-26 14:22:00,29
2019-06-26 14:23:00,31
2019-06-26 14:24:00,31
2019-06-26 14:25:00,29
2019-06-26 14:26:00,31
2019-06-26 14:27:00,30
2019-06-26 14:28:00,30
2019-06-26 14:29:00,29
2019-06-26 14:30:00,29
2019-06-26 14:31:00,31
2019-06-26 14:32:00,30
2019-06-26 14:33:00,30
2019-06-26 14:34:00,30
2019-06-26 14:35:00,30
2019-06-26 14:36:00,30
2019-06-26 14:37:00,30
2019-06-26 14:38:00,31
2019-06-26 14:39:00,28
2019-06-26 14:40:00,30
2019-06-26 14:41:00,29
2019-06-26 14:42:00,30
2019-06-26 14:43:00,30
2019-06-26 14:44:00,30
2019-06-26 14:45:00,30
2019-06-26 14:46:00,30
2019-06-26 14:47:00,30
2019-06-26 14:48:00,29
2019-06-26 14:49:00,28
2019-06-26 14:50:00,30
2019-06-26 14:51:00,30
2019-06-26 14:52:00,30
2019-06-26 14:53:00,29
2019-06-26 14:54:00,31
2019-06-26 14:55:00,30
2019-06-26 14:56:00,30
2019-06-26 14:57:00,30
2019-06-26 14:58:00,28
2019-06-26 14:59:00,27
2019-06-26 15:00:00,27
2019-06-26 15:01:00,28
2019-06-26 15:02:00,28
2019-06-26 15:03:00,28
2019-06-26 15:04:00,30
2019-06-26 15:05:00,22
2019-06-26 15:06:00,30
2019-06-26 15:07:00,30
2019-06-26 15:08:00,30
2019-06-26 15:09:00,27
2019-06-26 15:10:00,30
2019-06-26 15:11:00,30
2019-06-26 15:12:00,30
2019-06-26 15:13:00,29
2019-06-26 15:14:00,29
2019-06-26 15:15:00,30
2019-06-26 15:16:00,29
2019-06-26 15:17:00,28
2019-06-26 15:18:00,30
2019-06-26 15:19:00,28
2019-06-26 15:20:00,28
2019-06-26 15:21:00,29
2019-06-26 15:22:00,29
2019-06-26 15:23:00,28
2019-06-26 15:24:00,28
2019-06-26 15:25:00,29
2019-06-26 15:26:00,29
2019-06-26 15:27:00,29
2019-06-26 15:28:00,29
2019-06-26 15:29:00,28
2019-06-26 15:30:00,29
2019-06-26 15:31:00,29
2019-06-26 15:32:00,29
2019-06-26 15:33:00,29
2019-06-26 15:34:00,29
2019-06-26 15:35:00,29
2019-06-26 15:36:00,16
2019-06-26 15:37:00,17
2019-06-26 15:38:00,18
2019-06-26 15:39:00,16
2019-06-26 15:40:00,26
2019-06-26 15:41:00,29
2019-06-26 15:42:00,29
2019-06-26 15:43:00,29
2019-06-26 15:44:00,29
2019-06-26 15:45:00,28
2019-06-26 15:46:00,28
2019-06-26 15:47:00,29
2019-06-26 15:48:00,28
2019-06-26 15:49:00,27
2019-06-26 15:50:00,28
2019-06-26 15:51:00,28
2019-06-26 15:52:00,29
2019-06-26 15:53:00,28
2019-06-26 15:54:00,27
2019-06-26 15:55:00,28
2019-06-26 15:56:00,28
2019-06-26 15:57:00,27
2019-06-26 15:58:00,29
2019-06-26 15:59:00,26
2019-06-26 16:00:00,28
2019-06-26 16:01:00,29
2019-06-26 16:02:00,27
2019-06-26 16:03:00,28
2019-06-26 16:04:00,27
2019-06-26 16:05:00,15
2019-06-26 16:06:00,23
2019-06-26 16:07:00,27
2019-06-26 16:08:00,27
2019-06-26 16:09:00,28
2019-06-26 16:10:00,26
2019-06-26 16:11:00,27
2019-06-26 16:12:00,27
2019-06-26 16:13:00,27
2019-06-26 16:14:00,27
2019-06-26 16:15:00,26
2019-06-26 16:16:00,27
2019-06-26 16:17:00,27
2019-06-26 16:18:00,26
2019-06-26 16:19:00,26
2019-06-26 16:20:00,25
2019-06-26 16:21:00,27
2019-06-26 16:22:00,26
2019-06-26 16:23:00,25
2019-06-26 16:24:00,27
2019-06-26 16:25:00,26
2019-06-26 16:26:00,27
2019-06-26 16:27:00,27
2019-06-26 16:28:00,27
2019-06-26 16:29:00,27
2019-06-26 16:30:00,28
2019-06-26 16:31:00,27
2019-06-26 16:32:00,27
2019-06-26 16:33:00,27
2019-06-26 16:34:00,28
2019-06-26 16:35:00,25
2019-06-26 16:36:00,29
2019-06-26 16:37:00,26
2019-06-26 16:38:00,27
2019-06-26 16:39:00,27
2019-06-26 16:40:00,27
2019-06-26 16:41:00,26
2019-06-26 16:42:00,26
2019-06-26 16:43:00,28
2019-06-26 16:44:00,22
2019-06-26 16:45:00,18
2019-06-26 16:46:00,7
2019-06-26 16:47:00,8
2019-06-26 16:48:00,8
2019-06-26 16:49:00,11
2019-06-26 16:50:00,10
2019-06-26 16:51:00,10
2019-06-26 16:52:00,9
2019-06-26 16:53:00,9
2019-06-26 16:54:00,10
2019-06-26 16:55:00,11
2019-06-26 16:56:00,11
2019-06-26 16:57:00,10
2019-06-26 16:58:00,11
2019-06-26 16:59:00,9
2019-06-26 17:00:00,10
2019-06-26 17:01:00,11
2019-06-26 17:02:00,11
2019-06-26 17:03:00,11
