14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 03:52:00,2
2019-07-29 03:54:00,68
2019-07-29 03:55:00,6
2019-07-29 03:56:00,9
2019-07-29 03:57:00,3
2019-07-29 03:58:00,8
2019-07-29 03:59:00,3
2019-07-29 04:01:00,2
2019-07-29 04:02:00,2
2019-07-29 04:04:00,67
2019-07-29 04:05:00,6
2019-07-29 04:06:00,9
2019-07-29 04:07:00,3
2019-07-29 04:08:00,8
2019-07-29 04:09:00,3
2019-07-29 04:11:00,2
2019-07-29 04:12:00,2
2019-07-29 04:14:00,66
2019-07-29 04:15:00,6
2019-07-29 04:16:00,9
2019-07-29 04:17:00,3
2019-07-29 04:18:00,8
2019-07-29 04:19:00,3
2019-07-29 04:21:00,2
2019-07-29 04:22:00,2
2019-07-29 04:24:00,66
2019-07-29 04:25:00,6
2019-07-29 04:26:00,9
2019-07-29 04:27:00,3
2019-07-29 04:28:00,8
2019-07-29 04:29:00,3
2019-07-29 04:31:00,2
2019-07-29 04:32:00,2
2019-07-29 04:34:00,66
2019-07-29 04:35:00,6
2019-07-29 04:36:00,9
2019-07-29 04:37:00,3
2019-07-29 04:38:00,8
2019-07-29 04:39:00,5
2019-07-29 04:41:00,2
2019-07-29 04:42:00,2
2019-07-29 04:44:00,66
2019-07-29 04:45:00,6
2019-07-29 04:46:00,9
2019-07-29 04:47:00,3
2019-07-29 04:48:00,10
2019-07-29 04:49:00,3
2019-07-29 04:51:00,2
2019-07-29 04:52:00,2
2019-07-29 04:54:00,64
2019-07-29 04:55:00,8
2019-07-29 04:56:00,9
2019-07-29 04:57:00,3
2019-07-29 04:58:00,8
2019-07-29 04:59:00,3
2019-07-29 05:01:00,2
2019-07-29 05:02:00,2
2019-07-29 05:04:00,64
2019-07-29 05:05:00,2
2019-07-29 05:06:00,9
2019-07-29 05:07:00,3
2019-07-29 05:08:00,8
2019-07-29 05:09:00,5
2019-07-29 05:11:00,2
2019-07-29 05:12:00,2
2019-07-29 05:14:00,65
2019-07-29 05:15:00,8
2019-07-29 05:16:00,9
2019-07-29 05:17:00,3
2019-07-29 05:18:00,8
2019-07-29 05:19:00,3
2019-07-29 05:21:00,2
2019-07-29 05:22:00,2
2019-07-29 05:24:00,64
2019-07-29 05:25:00,8
2019-07-29 05:26:00,9
2019-07-29 05:27:00,3
2019-07-29 05:28:00,8
2019-07-29 05:29:00,3
2019-07-29 05:31:00,2
2019-07-29 05:32:00,2
2019-07-29 05:34:00,67
2019-07-29 05:35:00,8
2019-07-29 05:36:00,9
2019-07-29 05:37:00,3
2019-07-29 05:38:00,8
2019-07-29 05:39:00,5
2019-07-29 05:41:00,2
2019-07-29 05:42:00,2
2019-07-29 05:44:00,64
2019-07-29 05:45:00,8
2019-07-29 05:46:00,9
2019-07-29 05:47:00,3
2019-07-29 05:48:00,8
2019-07-29 05:49:00,3
2019-07-29 05:51:00,2
2019-07-29 05:52:00,2
2019-07-29 05:54:00,65
2019-07-29 05:55:00,8
2019-07-29 05:56:00,9
2019-07-29 05:57:00,3
2019-07-29 05:58:00,8
2019-07-29 05:59:00,3
2019-07-29 06:01:00,2
2019-07-29 06:02:00,2
2019-07-29 06:04:00,64
2019-07-29 06:05:00,2
2019-07-29 06:06:00,9
2019-07-29 06:07:00,3
2019-07-29 06:08:00,8
2019-07-29 06:09:00,3
2019-07-29 06:11:00,2
2019-07-29 06:12:00,2
2019-07-29 06:14:00,66
2019-07-29 06:15:00,8
2019-07-29 06:16:00,9
2019-07-29 06:17:00,3
2019-07-29 06:18:00,8
2019-07-29 06:19:00,3
2019-07-29 06:21:00,2
2019-07-29 06:22:00,2
2019-07-29 06:24:00,67
2019-07-29 06:25:00,8
2019-07-29 06:26:00,9
2019-07-29 06:27:00,3
2019-07-29 06:28:00,8
2019-07-29 06:29:00,5
2019-07-29 06:31:00,2
2019-07-29 06:32:00,2
2019-07-29 06:34:00,64
2019-07-29 06:35:00,8
2019-07-29 06:36:00,9
2019-07-29 06:37:00,3
2019-07-29 06:38:00,8
2019-07-29 06:39:00,3
2019-07-29 06:42:00,4
2019-07-29 06:44:00,65
2019-07-29 06:45:00,8
2019-07-29 06:46:00,9
2019-07-29 06:47:00,3
2019-07-29 06:48:00,8
2019-07-29 06:49:00,5
2019-07-29 06:52:00,4
2019-07-29 06:54:00,64
2019-07-29 06:55:00,8
2019-07-29 06:56:00,9
2019-07-29 06:57:00,3
2019-07-29 06:58:00,8
2019-07-29 06:59:00,3
2019-07-29 07:02:00,4
2019-07-29 07:04:00,67
