507,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-08-29 22:40:00,2
2019-08-29 22:44:00,1
2019-08-29 22:45:00,1
2019-08-29 22:49:00,1
2019-08-29 22:51:00,2
2019-08-29 22:54:00,2
2019-08-29 22:57:00,1
2019-08-29 22:58:00,1
2019-08-29 22:59:00,1
2019-08-29 23:02:00,1
2019-08-29 23:03:00,1
2019-08-29 23:04:00,1
2019-08-29 23:06:00,2
2019-08-29 23:08:00,1
2019-08-29 23:09:00,1
2019-08-29 23:10:00,1
2019-08-29 23:12:00,1
2019-08-29 23:13:00,1
2019-08-29 23:21:00,2
2019-08-29 23:26:00,2
2019-08-29 23:36:00,1
2019-08-29 23:37:00,1
2019-08-29 23:46:00,2
